profession|name|rarity|dabHandChance|recycleChance|proficiency|focus
Adventurer|Akkya Petalwind|Common|0|0|377.0|433.0
Adventurer|Braunt Lowport|Common|0|0|388.0|433.0
Adventurer|Brenton Silverwood|Common|0|0|439.0|371.0
Adventurer|Dilara Ayak|Common|0.1|0|377.0|416.0
Adventurer|Elend Legrande|Common|0|0|405.0|388.0
Adventurer|Joanhild Stouthammer|Common|0.2|0|422.0|377.0
Adventurer|Kolneg Stouthammer|Common|0.1|0|405.0|405.0
Adventurer|Nadia Evendown|Common|0|0|405.0|388.0
Adventurer|Rona Farhill|Common|0|0|388.0|388.0
Adventurer|Sven Longriver|Common|0|0|405.0|405.0
Adventurer|Corynn Koldavat|Rare|0.25|0|394.0|433.0
Adventurer|Dorrak|Rare|0|0|433.0|383.0
Adventurer|Feira Halindeyl|Rare|0|0|383.0|444.0
Adventurer|Heyra Keeneye|Rare|0|0|439.0|394.0
Adventurer|Jahi Waradi|Rare|0|0|399.0|433.0
Adventurer|Murchadh Ossian|Rare|0.1|0|416.0|416.0
Adventurer|Osskor Brundahl|Rare|0|0|433.0|388.0
Adventurer|Paelion Lightfeather|Rare|0|0|371.0|439.0
Adventurer|Saba Ohchibe|Rare|0|0|388.0|433.0
Adventurer|Xerazze D'Zzen|Rare|0|0|405.0|383.0
Adventurer|Evelyn Nara|Epic|0|0|366.0|450.0
Adventurer|Krunng Sweetwater|Epic|0.2|0|450.0|428.0
Adventurer|Malvina Mithralhand|Epic|0.25|0|439.0|428.0
Adventurer|Pan Whitewood|Epic|0|0|399.0|450.0
Adventurer|Trys Kiirendal|Epic|0|0|405.0|444.0
Adventurer|Vorryl Farwalker|Epic|0|0|444.0|444.0
Any|Karmela Valeri|Epic|0|0|433.0|433.0
Alchemist|Unkra Forend|Common|0.15|0|388.0|388.0
Alchemist|Fenma Loharn|Common|0|0|416.0|388.0
Alchemist|Sten Oakfoot|Common|0|0.1|399.0|399.0
Alchemist|Noen Ethulia|Common|0|0|394.0|433.0
Alchemist|Jayms Pallisat|Common|0|0|383.0|394.0
Alchemist|Jala Astraad|Common|0|0.1|377.0|433.0
Alchemist|Seyrin Hartport|Common|0|0|377.0|405.0
Alchemist|Nayet Al-Abta|Common|0|0|444.0|383.0
Alchemist|Heywa Undapu|Common|0|0|394.0|394.0
Alchemist|Kefhen Jorola|Common|0.2|0|371.0|439.0
Alchemist|Dorne Fluben|Rare|0|0|411.0|439.0
Alchemist|Flug Tordbrin|Rare|0.15|0|433.0|383.0
Alchemist|Iris d'Lafonte|Rare|0|0|433.0|433.0
Alchemist|Janiwah Al-Afad|Rare|0|0.15|394.0|444.0
Alchemist|Kilij Harran|Rare|0|0|433.0|377.0
Alchemist|Lee Darnela|Rare|0|0|433.0|383.0
Alchemist|Letotto Falthad|Rare|0.2|0|388.0|399.0
Alchemist|Minda Breskhild|Rare|0|0.25|450.0|394.0
Alchemist|Ross Silverhill|Rare|0|0|433.0|388.0
Alchemist|Zutto K'Lotha|Rare|0|0|433.0|394.0
Alchemist|Adloquium|Epic|0.2|0|422.0|405.0
Alchemist|Beatrice|Epic|0|0.25|388.0|450.0
Alchemist|Efla Parkatha|Epic|0|0|444.0|444.0
Alchemist|Mavi Jubbani|Epic|0|0|428.0|439.0
Alchemist|Paelinn Shardhilt|Epic|0|0.2|416.0|416.0
Alchemist|Yungric|Epic|0|0|360.0|450.0
Any|Karmela Valeri|Epic|0|0|433.0|433.0
Armorer|Bitrid Brasshammer|Common|0|0.25|383.0|383.0
Armorer|Cord Brackman|Common|0|0.1|405.0|405.0
Armorer|Enurai Anturiel|Common|0|0|405.0|405.0
Armorer|Erwan Laurent|Common|0|0|436.0|394.0
Armorer|Jane Silverhearth|Common|0|0.05|399.0|399.0
Armorer|Jenifyr Liamnoen|Common|0|0|388.0|433.0
Armorer|Oskar Danforge|Common|0|0|399.0|383.0
Armorer|Storbek Ironfoot|Common|0.1|0|416.0|388.0
Armorer|Torbryn Unker|Common|0|0|422.0|360.0
Armorer|Yulia Strauss|Common|0|0|388.0|394.0
Armorer|Aynhild Rubystone|Rare|0|0|433.0|394.0
Armorer|Bridgit Foucault|Rare|0.2|0|399.0|428.0
Armorer|Dorfok Guggenston|Rare|0|0|433.0|383.0
Armorer|Eamhair Seaghdha|Rare|0|0.1|416.0|422.0
Armorer|Enako Kadou|Rare|0|0|428.0|439.0
Armorer|Mitra Lashgari|Rare|0|0|439.0|394.0
Armorer|Naera Amanodel|Rare|0|0|422.0|383.0
Armorer|Storborn Stonefist|Rare|0.15|0|377.0|439.0
Armorer|Ulfred Gorheim|Rare|0|0|433.0|388.0
Armorer|Yusup Tunyaz|Rare|0|0|399.0|433.0
Armorer|Dain Hephdal|Epic|0|0.2|450.0|428.0
Armorer|Elsbeth Missaglias|Epic|0|0.25|433.0|450.0
Armorer|Gurtid Staranvil|Epic|0|0|433.0|422.0
Armorer|Silael Steelwhisper|Epic|0|0|405.0|444.0
Armorer|Stogun Silverbeard|Epic|0|0|444.0|444.0
Armorer|Tomaso Missaglias|Epic|0.25|0|388.0|450.0
Any|Karmela Valeri|Epic|0|0|433.0|433.0
Artificer|Alona Korinthil|Common|0|0|388.0|388.0
Artificer|Boagran Mahola|Common|0|0|433.0|388.0
Artificer|Brodun Comawn|Common|0.15|0|383.0|383.0
Artificer|Emilee Suntrot|Common|0|0|360.0|439.0
Artificer|Janid Stolshore|Common|0|0.05|439.0|394.0
Artificer|Jorgen Leventhen|Common|0|0|439.0|405.0
Artificer|Kestrid Dawnshield|Common|0.1|0|433.0|377.0
Artificer|Kevh Oleme|Common|0|0.05|405.0|394.0
Artificer|Strukkat Stephammer|Common|0|0.1|383.0|439.0
Artificer|Yolen Nieldot|Common|0|0|394.0|394.0
Artificer|Belmen Ironarms|Rare|0|0|450.0|394.0
Artificer|Benedict Klaude|Rare|0|0.05|428.0|428.0
Artificer|Brindi Goldsky|Rare|0.2|0|371.0|433.0
Artificer|Corinn Maoi|Rare|0|0|439.0|439.0
Artificer|Ergon Senriver|Rare|0|0|360.0|444.0
Artificer|Everyt Lathulien|Rare|0|0.2|433.0|377.0
Artificer|Eyla Gundman|Rare|0|0.15|405.0|439.0
Artificer|Junne Nightbloom|Rare|0|0|439.0|360.0
Artificer|Olfen Dunmar|Rare|0|0|433.0|377.0
Artificer|Phelianna|Rare|0|0|422.0|383.0
Artificer|Cogitation|Epic|0|0|439.0|439.0
Artificer|Dolben Lodestone|Epic|0|0|383.0|450.0
Artificer|Evelyn Chiaroscuro|Epic|0.25|0|377.0|433.0
Artificer|Gunter Morthrad|Epic|0.2|0|416.0|450.0
Artificer|Stella Everstream|Epic|0|0.25|405.0|450.0
Artificer|Violet Laidyn|Epic|0|0|450.0|450.0
Any|Karmela Valeri|Epic|0|0|433.0|433.0
Blacksmith|Duginn Steepmountain|Common|0|0.2|394.0|388.0
Blacksmith|Eltrid Throunn|Common|0|0|371.0|428.0
Blacksmith|Fionn Goel|Common|0|0|399.0|433.0
Blacksmith|Gront|Common|0|0|439.0|377.0
Blacksmith|Jalal Rafgari|Common|0|0.1|394.0|394.0
Blacksmith|Brynde Oakenhearth|Common|0|0|416.0|366.0
Blacksmith|Marysa Greyshore|Common|0.05|0|399.0|399.0
Blacksmith|Rinn Giroud|Common|0|0.15|422.0|377.0
Blacksmith|Trodinn Deepstone|Common|0.1|0|428.0|383.0
Blacksmith|Veega|Common|0.05|0|444.0|360.0
Blacksmith|Bortrich Kuldenn|Rare|0|0|422.0|416.0
Blacksmith|Donnen Millkeep|Rare|0|0.15|383.0|405.0
Blacksmith|Elodie Devenport|Rare|0|0|394.0|433.0
Blacksmith|Geralt Loahdben|Rare|0.2|0|383.0|439.0
Blacksmith|Gohrr Kuldin|Rare|0.25|0|450.0|360.0
Blacksmith|Izzal the Runaway|Rare|0|0.2|416.0|433.0
