name|quantity|canDabHand|proficiency|focus|unlock|profession|commission|recipe|type|class|slot|equipBonus
Crafted Potion of Accuracy Rank 3|12.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|1.25|"[[12.0, 'Chultan Spring Water'], [1.0, 'Chultan Tea Leaves'], [1.0, 'Alkali'], [12.0, 'Sugar Beet']]"|Potion|N/A|Belt|-
Crafted Potion of Critical Strike Rank 3|12.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|1.25|"[[12.0, 'Chultan Spring Water'], [1.0, 'Chultan Tea Leaves'], [1.0, 'Alkali'], [12.0, 'Aberrant Blood']]"|Potion|N/A|Belt|-
Crafted Potion of Defense Rank 3|12.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|1.25|"[[12.0, 'Chultan Spring Water'], [1.0, 'Chultan Tea Leaves'], [1.0, 'Alkali'], [12.0, 'Aberrant Bone']]"|Potion|N/A|Belt|-
Crafted Potion of Deflect Rank 3|12.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|1.25|"[[12.0, 'Chultan Spring Water'], [1.0, 'Chultan Tea Leaves'], [1.0, 'Alkali'], [12.0, 'Chamomile']]"|Potion|N/A|Belt|-
Crafted Potion of Power Rank 3|12.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|1.25|"[[12.0, 'Chultan Spring Water'], [1.0, 'Chultan Tea Leaves'], [1.0, 'Alkali'], [12.0, 'Beast Horn']]"|Potion|N/A|Belt|-
Adept's Medicinal Tea|3.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|1.25|"[[12.0, 'Chultan Tea Leaves'], [10.0, 'Woad'], [6.0, 'Senna Leaves'], [3.0, 'Honey'], [3.0, 'Chultan Spring Water']]"|Supplement|N/A|Supplement|-
Workman's Incense|3.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|1.25|"[[12.0, 'Bronzewood Lumber']]"|Supplement|N/A|Supplement|-
Distilled Philosopher's Bounty|1.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[6.0, 'Chultan Spring Water'], [1.0, 'Alkali'], [1.0, 'Myrrh']]"|Supplement|N/A|Supplement|-
Distilled Philosopher's Calm|1.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[6.0, 'Chultan Spring Water'], [1.0, 'Alkali'], [1.0, 'Volcanic Salt']]"|Supplement|N/A|Supplement|-
Distilled Philosopher's Keep|1.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[6.0, 'Chultan Spring Water'], [1.0, 'Alkali'], [1.0, 'Wild Mint']]"|Supplement|N/A|Supplement|-
Distilled Philosopher's Focus|1.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[6.0, 'Chultan Spring Water'], [1.0, 'Alkali'], [1.0, 'Sugar Beet']]"|Supplement|N/A|Supplement|-
Distilled Philosopher's Quick|1.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[6.0, 'Chultan Spring Water'], [1.0, 'Alkali'], [1.0, 'Sword Coast Tea Leaves']]"|Supplement|N/A|Supplement|-
Distilled Philosopher's Haste|1.0|False|1400|1400|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[6.0, 'Chultan Spring Water'], [1.0, 'Alkali'], [1.0, 'Honey']]"|Supplement|N/A|Supplement|-
Crafted Potion of Accuracy Rank 5|12.0|False|1050|1126|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[12.0, 'Sparkling Water'], [3.0, 'Wyllowwood Lemon'], [1.0, 'Alkali'], [3.0, 'Wild Mint'], [1.0, 'Honey']]"|Potion|N/A|Belt|-
Crafted Potion of Awareness Rank 5|12.0|False|1050|1126|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[12.0, 'Sparkling Water'], [3.0, 'Nightleaf Tea'], [1.0, 'Alkali'], [3.0, 'Wild Mint'], [1.0, 'Honey']]"|Potion|N/A|Belt|-
Crafted Potion of Combat Advantage Rank 5|12.0|False|1050|1126|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[12.0, 'Sparkling Water'], [3.0, 'Wyllowwood Walnut'], [1.0, 'Alkali'], [3.0, 'Wild Mint'], [1.0, 'Honey']]"|Potion|N/A|Belt|-
