name|quantity|canDabHand|proficiency|focus|unlock|profession|commission|recipe|type|class|slot|equipBonus
Crafted Potion of Accuracy Rank 14|12|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|5|"[[12.0, 'Luminescent Darklake Water'], [1.0, ""Umber Hulk Mandible""], [1.0, 'Alkali'], [12.0, 'Sugar Beet']]"|Potion|N/A|Belt|-
Crafted Potion of Critical Strike Rank 14|12|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|5|"[[12.0, 'Luminescent Darklake Water'], [1.0, ""Umber Hulk Mandible""], [1.0, 'Alkali'], [12.0, 'Aberrant Blood']]"|Potion|N/A|Belt|-
Crafted Potion of Defense Rank 14|12|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|5|"[[12.0, 'Luminescent Darklake Water'], [1.0, ""Umber Hulk Mandible""], [1.0, 'Alkali'], [12.0, 'Aberrant Bone']]"|Potion|N/A|Belt|-
Crafted Potion of Deflect Rank 14|12|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|5|"[[12.0, 'Luminescent Darklake Water'], [1.0, ""Umber Hulk Mandible""], [1.0, 'Alkali'], [12.0, 'Chamomile']]"|Potion|N/A|Belt|-
Crafted Potion of Power Rank 14|12|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|5|"[[12.0, 'Luminescent Darklake Water'], [1.0, ""Umber Hulk Mandible""], [1.0, 'Alkali'], [12.0, 'Beast Horn']]"|Potion|N/A|Belt|-
Distilled Dreamer's Bounty|1|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|2|"[[6.0, 'Luminescent Darklake Water'], [3.0, 'Shroomsap Spores'], [1.0, 'Alkali'], [1.0, 'Myrrh']]"|Supplement|N/A|Supplement|-
Distilled Dreamer's Calm|1|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|2|"[[6.0, 'Luminescent Darklake Water'], [3.0, 'Shroomsap Spores'], [1.0, 'Alkali'], [1.0, 'Volcanic Salt']]"|Supplement|N/A|Supplement|-
Distilled Dreamer's Focus|1|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|2|"[[6.0, 'Luminescent Darklake Water'], [3.0, 'Shroomsap Spores'], [1.0, 'Alkali'], [1.0, 'Sugar Beet']]"|Supplement|N/A|Supplement|-
Distilled Dreamer's Haste|1|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|2|"[[6.0, 'Luminescent Darklake Water'], [3.0, 'Shroomsap Spores'], [1.0, 'Alkali'], [1.0, 'Honey']]"|Supplement|N/A|Supplement|-
Distilled Dreamer's Keep|1|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|2|"[[6.0, 'Luminescent Darklake Water'], [3.0, 'Shroomsap Spores'], [1.0, 'Alkali'], [1.0, 'Wild Mint']]"|Supplement|N/A|Supplement|-
Distilled Dreamer's Quick|1|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|2|"[[6.0, 'Luminescent Darklake Water'], [3.0, 'Shroomsap Spores'], [1.0, 'Alkali'], [1.0, 'Faerzress Rock']]"|Supplement|N/A|Supplement|-
Dreamer's Incense|3|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|5|"[[12.0, 'Faerzress Rock'], [12.0, 'Menzoberranzan Faerzress Crystal'], [3.0, 'Drider Leg'], [9.0, 'Mushroom Lumber']]"|Supplement|N/A|Supplement|-
Dreamer's Medicinal Tea|3|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|5|"[[12.0, ""Umber Hulk Mandible""], [10.0, 'Faerzress Rock'], [6.0, 'Shroomsap Spores'], [3.0, 'Honey'], [3.0, 'Luminescent Darklake Water']]"|Supplement|N/A|Supplement|-
Duergar Mercenary's Steel Bulwark|1|FALSE|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|5|"[[3.0, 'Marilith Charm'], [4.0, 'Unknown Godsteel'], [2.0, 'Soul Bead'], [1.0, 'Lacquered Goristro Leather']]"|Gear|Paladin|Off-Hand|Set: MWVIII Weapons
Duergar Mercenary's Steel Shield|1|FALSE|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|5|"[[3.0, 'Marilith Charm'], [4.0, 'Unknown Godsteel'], [2.0, 'Mushroom Lumber'], [3.0, 'Lacquered Mushroom']]"|Gear|Fighter|Off-Hand|Set: MWVIII Weapons
Mastered Duergar Mercenary's Bracers|1|FALSE|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|5|"[[2.0, 'Hardened Mushroom'], [2.0, 'Unknown Godsteel'], [3.0, 'Lacquered Goristro Leather'], [4.0, 'Druegarsteel Scrap']]"|Gear|"Paladin, Cleric"|Arms|+10k Critical Strike
