name|quantity|canDabHand|proficiency|focus|unlock|profession|commission|recipe
Purified Darklake Water Tears|3.0|True|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|0.5|"[[15.0, ""Luminescent Darklake Water""], [5.0, 'Terebinth']]"
Salty Tears Varnish (Menzo)|3.0|True|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|0.5|"[[1.0, ""Luminescent Darklake Water""], [3.0, ""Purified Darklake Water Tears""]]"
Mushroom Lumber|4.0|True|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|3.3|[[12.0, 'Mushroom Log'], [1.0, 'Drider Leg']]
Hardened Mushroom|2.0|True|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|3.3|"[[4.0, 'Mushroom Lumber'], [1.0, ""Purified Darklake Water Tears""]]"
Living Fungi|3.0|True|1400|1400|Menzoberranzan Masterwork - Artificing|Artificing|2.0625|"[[4.0, 'Mushroom Lumber'], [1.0, ""Luminescent Darklake Water""]]"
Marilith Charm|4.0|True|1400|1400|Menzoberranzan Masterwork - Blacksmithing|Blacksmithing|4.95|"[[4.0, ""Shard of Dawn's Light (Menzo)""], [1.0, 'Abyssal Crystal']]"
Unknown Godsteel|3.0|True|1400|1400|Menzoberranzan Masterwork - Blacksmithing|Blacksmithing|4.95|"[[12.0, 'Fungal Moss'], [1.0, ""Shard of Dawn's Light (Menzo)""]]"
Lolthbead|4.0|True|1400|1400|Menzoberranzan Masterwork - Jewelcrafting|Jewelcrafting|10.0|"[[12.0, 'Fungal Moss'], [4.0, 'Unknown Godsteel'], [1.0, ""Shard of Dawn's Light (Menzo)""]]"
Menzoberranzan Bead|2.0|True|1400|1400|Menzoberranzan Masterwork - Jewelcrafting|Jewelcrafting|10.0|"[[4.0, 'Lolthbead'], [3.0, 'Spool of Lolthsilk'], [12.0, ""Shard of Dawn's Light (Menzo)""]]"
Lacquered Mushroom|2.0|True|1400|1400|Menzoberranzan Masterwork - Leatherworking|Leatherworking|2.8875|"[[12.0, 'Marilith Hair'], [1.0, ""Purified Darklake Water Tears""], [1.0, 'Drider Leg'], [6.0, 'Flourescent Fauna']]"
Lacquered Rothe Leather|2.0|True|1400|1400|Menzoberranzan Masterwork - Leatherworking|Leatherworking|2.8875|"[[12.0, ""Umber Hulk Mandible""], [1.0, 'Drider Leg'], [2.0, ""Purified Darklake Water Tears""], [8.0, 'Marilith Hair']]"
Underdark Fiber|1.0|True|1400|1400|Menzoberranzan Masterwork - Tailoring|Tailoring|2.8875|"[[12.0, 'Flourescent Fauna'], [6.0, ""Luminescent Darklake Water""]]"
Fey'd Fabrics|3.0|True|1400|1400|Menzoberranzan Masterwork - Tailoring|Tailoring|2.8875|"[[12.0, 'Flourescent Fauna'], [6.0, ""Luminescent Darklake Water""]]"
Goristro Hide|2.0|True|1400|1400|Menzoberranzan Masterwork - Tailoring|Tailoring|2.8875|[[4.0, 'Underdark Fiber'], [1.0, 'Drider Leg'], [4.0, 'Flourescent Fauna']]
Spool of Lolthsilk|2.0|True|1400|1400|Menzoberranzan Masterwork - Tailoring|Tailoring|2.8875|"[[15.0, ""Perfect Marilith Hair""]]"
Druegarsteel Scrap (Crafted)|3.0|True|1400|1400|Menzoberranzan Masterwork - Artificing|Artificing|2.0625|"[[1.0, ""Shard of Dawn's Light (Menzo)""], [4.0, 'Fungal Moss']]"
Menzoberranzan Faerzress Crystal (Crafted)|2.0|True|1400|1400|Menzoberranzan Masterwork - Jewelcrafting|Jewelcrafting|10.0|[[4.0, 'Lolthbead'], [3.0, 'Spool of Lolthsilk'], [6.0, 'Calcified Webbing']]
