name|quantity|canDabHand|proficiency|focus|unlock|profession|commission|recipe|type|class|slot|equipBonus
[Menzo] Commissioned Blightblockers|1|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|2.0|"[[6.0, 'Faerzress Rock'], [6.0, 'Mushroom Droplet'], [2.0, ""Umber Hulk Mandible""], [1.0, 'Mushroom Lumber']]"|Commission Item|N/A|N/A|-
[Menzo] Commissioned Blightburner|1|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|2.0|"[[6.0, 'Faerzress Rock'], [6.0, 'Luminescent Darklake Water'], [3.0, 'Alkali']]"|Commission Item|N/A|N/A|-
[Menzo] Commissioned Morning's Light Tea|1|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|2.0|"[[4.0, ""Umber Hulk Mandible""], [4.0, 'Shroomsap Spores'], [1.0, ""Fallen God's Ore""], [2.0, 'Luminescent Darklake Water']]"|Commission Item|N/A|N/A|-
[Menzo] Commissioned Repellent|1|FALSE|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|2.0|"[[6.0, 'Mushroom Droplet'], [4.0, 'Luminescent Darklake Water'], [4.0, ""Umber Hulk Mandible""]]"|Commission Item|N/A|N/A|-
[Menzo] Commissioned Finger Bow Releases|1|FALSE|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|2|"[[2.0, 'Mushroom Lumber'], [2.0, 'Elm Lumber'], [2.0, 'Faerzress Rock'], [1.0, ""Fallen God's Ore""], [1.0, 'Drider Leg']]"|Commission Item|N/A|N/A|-
[Menzo] Commissioned Livingwood Bolts|1|FALSE|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|2|"[[6.0, 'Fungal Moss'], [4.0, ""Fallen God's Ore""], [2.0, 'Calcified Webbing'], [1.0, 'Abyssal Crystal'], [1.0, 'Salt-Marsh Crystal (Menzo)']]"|Commission Item|N/A|N/A|-
[Menzo] Commissioned Livingwood Quiver|1|FALSE|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|2|"[[4.0, 'Fungal Moss'], [4.0, 'Perfect Marilith Hair'], [2.0, 'Shroomsap Spores'], [2.0, 'Mushroom Lumber'], [2.0, 'Purified Darklake Water']]"|Commission Item|N/A|N/A|-
[Menzo] Commissioned Shieldings|1|FALSE|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|2|"[[8.0, ""Fallen God's Ore""], [2.0, 'Copper Ingot'], [2.0, 'Fungal Moss'], [2.0, 'Faerzress Rock'], [1.0, 'Salt-Marsh Crystal (Menzo)']]"|Commission Item|N/A|N/A|-
[Menzo] Commissioned Spiked Trap|1|FALSE|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|2|"[[4.0, 'Hardened Mushroom'], [1.0, 'Mushroom Lumber'], [4.0, 'Calcified Webbing'], [2.0, 'Purified Darklake Water']]"|Commission Item|N/A|N/A|-
[Menzo] Commissioned Support Braces|1|FALSE|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|2|"[[1.0, 'Faerzress Rock'], [2.0, ""Fallen God's Ore""], [2.0, 'Drider Leg'], [1.0, 'Unknown Godsteel'], [1.0, 'Druegarsteel Scrap']]"|Commission Item|N/A|N/A|-
[Menzo] Commissioned Trap Wires|1|FALSE|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|2|"[[6.0, 'Fungal Moss'], [3.0, 'Calcified Webbing'], [2.0, 'Mushroom Droplet'], [1.0, ""Marilith Charm""]]"|Commission Item|N/A|N/A|-
[Menzo] Commissioned Spider Barding|1|FALSE|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|2|"[[3.0, 'Mushroom Lumber'], [2.0, 'Lacquered Goristro Leather'], [2.0, 'Drider Leg'], [2.0, 'Druegarsteel Scrap']]"|Commission Item|N/A|N/A|-
