name|price|mwTier|source
Aberrant Blood|0.0|N/A|Gathering
Aberrant Bone|0.0|N/A|Gathering
Aberrant Hide|0.0|N/A|Gathering
Aberrant Sinew|0.0|N/A|Gathering
Adamantine Ore|0.0|N/A|Gathering
Adder|0.0|N/A|Gathering
Aegwyrt|0.0|N/A|Gathering
Alkali|4500.0|N/A|GH Vendor
Allosaur Fang|2000.0|Chultan|Allosaurs in Chult
Animal Bone|0.0|N/A|Gathering
Animal Hide|0.0|N/A|Gathering
Animal Sinew|0.0|N/A|Gathering
Auroch Hide|0.0|N/A|Gathering
Ash Log|0.0|N/A|Gathering
Azurite|1000.0|Chultan|GH Vendor
Basilisk Bone|0.0|N/A|Gathering
Basilisk Hide|0.0|N/A|Gathering
Batiri Prism|800.0|Chultan|Batiris in Chult
Bear Hide|0.0|N/A|Gathering
Bear Sinew|0.0|N/A|Gathering
Bearberry|0.0|N/A|Gathering
Beast Blood|0.0|N/A|Gathering
Beast Fang|0.0|N/A|Gathering
Beast Horn|0.0|N/A|Gathering
Beehive Chip|0.0|N/A|Gathering
Belladonna|0.0|N/A|Gathering
Blackiron Ore|0.0|N/A|Gathering
Blacklip Oyster|0.0|N/A|Gathering
Brimstone|0.0|N/A|Gathering
Brilliant Pinion|380.0|Chultan|Explorer Chart: Omu
Bronzewood Log|180.0|Chultan|Explorer Chart: Soshenstar
Brown Scorpion|0.0|N/A|Gathering
Calf Skin|1000.0|Legacy|Mysterious Merchant
Chalk|0.0|N/A|Gathering
Chamomile|0.0|N/A|Gathering
Chestnut Log|0.0|N/A|Gathering
Chultan Spring Water|2500.0|Chultan|Explorer Chart: Omu
Chultan Tea Leaves|2000.0|Chultan|Explorer Chart: Soshenstar
Chultan Wootz Ore|100.0|Chultan|Explorer Chart: Omu
Cinnabar|0.0|N/A|Gathering
Cobalt Ore|0.0|N/A|Gathering
Chultan Wootz|0.0|Chultan|Explorer Chart: Omu
Coke|3700.0|Chultan|GH Vendor
Copper Ore|0.0|N/A|Gathering
Copper Sand|0.0|N/A|Gathering
Corpse Flower Thorn|800.0|Sharandar|Corpse Flowers in Sharandar
Cotton Boll|0.0|N/A|Gathering
Cupronickel Ore|0.0|N/A|Gathering
Cupronickel Sand|0.0|N/A|Gathering
Darksteel Sand|0.0|Undermountain|Explorer Chart: Terminus
Death Cap|0.0|N/A|Gathering
Deep Brimstone|0.0|Undermountain|Explorer Chart: Terminus
Deepwood Sap|0.0|Undermountain|Explorer Chart: Wyllowwood
Deer Antler|0.0|N/A|Gathering
Deer Sinew|0.0|N/A|Gathering
Deer Skin|0.0|N/A|Gathering
Demon's Trumpet|0.0|N/A|Gathering
Deva's Trumpet|0.0|N/A|Gathering
Devil Bone|0.0|N/A|Gathering
Dinosaur Hide|100.0|Chultan|Chultan Dinosaurs
Displacer Beast's Whisker|38000.0|Sharandar|Vault of Stars
Dragon Turtle Scales|0.0|Legacy|Fangbreaker Island
Drake Hide|0.0|N/A|Gathering
Drake Horn|0.0|N/A|Gathering
Drake Sinew|0.0|N/A|Gathering
Dream Moss|0.0|Undermountain|Explorer Chart: Twisted Caverns
Dryad Hair|2200.0|Sharandar|Explorer Chart: The Grove
Dubbin|0.0|Legacy|Sea of Moving Ice Treasure Maps
Dyer's Broom|2000.0|Legacy|GH Vendor
Electrum Ore|0.0|N/A|Gathering
Electrum Sand|0.0|N/A|Gathering
Elm Log|0.0|N/A|Gathering
Fartouched Residuum|0.0|Legacy|Master Spellplague Caverns
Feywood Log|1200.0|Sharandar|Explorer Chart: The Grove
Fieldstone|2500.0|Legacy|GH Vendor
Fish Bones|0.0|N/A|Gathering
Flax|0.0|N/A|Gathering
Fleece|0.0|N/A|Gathering
Foraged Cocoon|0.0|N/A|Gathering
Fowl Feather|0.0|N/A|Gathering
Gold Sand|0.0|N/A|Gathering
Hardened Blight Bark|900.0|Sharandar|Explorer Chart: The Grove
Iron Ore|0.0|N/A|Gathering
Iron Rust|2200.0|Chultan|GH Vendor
Iron Sand|0.0|N/A|Gathering
Jute|0.0|Legacy|Mysterious Merchant
Lakh Resin|2000.0|Chultan|Explorer Chart: Soshenstar
Lichstone|400.0|Chultan|Tomb of the Nine Gods
Limestone|0.0|N/A|Gathering
Lion Hide|4250.0|Chultan|Lions in Chult
Livewood Sap|0.0|Legacy|Sea of Moving Ice Treasure Maps
Madder Root|2000.0|Chultan|GH Vendor
Mainspring|0.0|Legacy|Mysterious Merchant
Maker's Bounty|2000.0|N/A|Lockbox
Maker's Calm|0.0|N/A|Lockbox
Maker's Focus|0.0|N/A|Lockbox
Maker's Haste|0.0|N/A|Lockbox
Maker's Keep|0.0|N/A|Lockbox
Maker's Quick|0.0|N/A|Lockbox
Manticore Hide|0.0|Legacy|"Fangbreaker Island / Assault on Svardborg"
Manticore Mane|0.0|Legacy|"Fangbreaker Island / Assault on Svardborg"
Maple Log|0.0|N/A|Gathering
Maple Sap|0.0|N/A|Gathering
Marble|5000.0|Chultan|GH Vendor
Menga Leaves|0.0|Chultan|Chultan Blue Plant nodes
Mica|0.0|N/A|Gathering
Mithral Ore|0.0|N/A|Gathering
Mithral Sand|0.0|N/A|Gathering
